Rank,Company,Symbol,Industry,ESG Score,Comp Rtg,RS Rtg,EPS Rtg,SMR Rtg,3-Yr EPS Growth Rate,ROE,Last Qtr Sales % Chg,Last Qtr EPS % Chg,Div Yld
26,ASML,ASML,Electronics-Semiconductor Equipment,68.41,98,94,96,A,26,27,28,49,0.3
27,West Fraser Timber,WFG,Building-Wood Products,68.38,92,77,74,A,n.a.,30,310,1183,1
28,Cabot,CBT,Chemicals-Specialty,68.1,86,51,73,B,-11,14,77,2029,2.6
29,Moelis & Co.,MC,Finance-Investment Banks,67.76,93,91,81,A,3,45,126,1182,3.9
30,Advansix,ASIX,Chemicals-Plastics,67.76,89,95,73,B,-11,11,88,273,n.a.
31,Advanced Micro Devices,AMD,Electronics-Semiconductor Fabless Mfg,67.67,99,84,99,A,82,36,99,250,n.a.
32,Nike,NKE,Apparel-Shoes & Related Mfg,67.34,90,82,69,A,-2,55,96,282,0.7
33,Artisan Partners,APAM,Finance-Investment Management,67.1,95,56,88,A,11,168,50,80,7.1
34,Ball Corp.,BLL,Containers/Packaging,67.05,91,60,85,A,15,32,23,32,0.8
35,Eaton,ETN,Diversified Operations,66.95,85,85,75,B,-4,12,35,98,1.8
36,Tradeweb Markets,TW,Financial Services-Specialty,66.9,96,82,87,A,21,8,23,30,0.4
37,Applied Materials,AMAT,Electronics-Semiconductor Equipment,66.89,94,88,91,A,12,41,41,79,0.7
38,Fabrinet,FN,Electronic-Contract Mfg,66.86,91,84,83,B,12,17,26,36,n.a.
39,Vista Outdoor,VSTO,Leisure-Products,66.8,89,90,72,A,953,37,38,241,n.a.
40,Qiagen,QGEN,Medical-Products,66.73,92,64,89,A,26,19,28,22,n.a.
41,ASGN,ASGN,Commercial Services-Staffing,66.73,90,82,77,B,3,17,17,25,n.a.
